Workload,Replicas_1,Replicas_2,Replicas_3,Latency
55.0,1,1,1,0.018
65.0,1,1,1,0.048
75.0,1,1,1,0.18
85.0,1,1,1,9.304
55.0,1,1,2,0.045
65.0,1,1,2,1.941
75.0,1,1,2,5.613
85.0,1,1,2,9.161
55.0,1,1,3,0.086
65.0,1,1,3,2.626
75.0,1,1,3,6.537
85.0,1,1,3,9.048
55.0,1,2,1,0.052
65.0,1,2,1,2.067
75.0,1,2,1,5.927
85.0,1,2,1,8.872
55.0,1,2,2,0.074
65.0,1,2,2,2.355
75.0,1,2,2,5.988
85.0,1,2,2,9.097
55.0,1,2,3,0.019
65.0,1,2,3,0.041
75.0,1,2,3,0.222
85.0,1,2,3,9.987
55.0,1,3,1,0.075
65.0,1,3,1,2.416
75.0,1,3,1,6.821
85.0,1,3,1,9.408
55.0,1,3,2,0.085
65.0,1,3,2,2.734
75.0,1,3,2,6.319
85.0,1,3,2,9.611
55.0,1,3,3,0.095
65.0,1,3,3,3.237
75.0,1,3,3,7.235
85.0,1,3,3,8.966
55.0,2,1,1,25.81
65.0,2,1,1,0.14
75.0,2,1,1,4.081
85.0,2,1,1,6.275
55.0,2,1,2,0.046
65.0,2,1,2,0.165
75.0,2,1,2,3.91
85.0,2,1,2,6.904
55.0,2,1,3,0.041
65.0,2,1,3,0.247
75.0,2,1,3,3.887
85.0,2,1,3,6.91
55.0,2,2,1,0.039
65.0,2,2,1,0.107
75.0,2,2,1,3.245
85.0,2,2,1,6.264
55.0,2,2,2,0.032
65.0,2,2,2,0.165
75.0,2,2,2,2.959
85.0,2,2,2,5.891
55.0,2,2,3,0.048
65.0,2,2,3,0.113
75.0,2,2,3,2.46
85.0,2,2,3,5.882
55.0,2,3,1,0.03
65.0,2,3,1,0.081
75.0,2,3,1,2.54
85.0,2,3,1,5.619
55.0,2,3,2,0.033
65.0,2,3,2,0.109
75.0,2,3,2,2.367
85.0,2,3,2,5.291
55.0,2,3,3,0.024
65.0,2,3,3,0.117
75.0,2,3,3,2.315
85.0,2,3,3,5.981
55.0,3,1,1,0.046
65.0,3,1,1,0.182
75.0,3,1,1,2.702
85.0,3,1,1,5.302
55.0,3,1,2,0.042
65.0,3,1,2,0.169
75.0,3,1,2,2.554
85.0,3,1,2,5.969
55.0,3,1,3,0.044
65.0,3,1,3,0.158
75.0,3,1,3,2.381
85.0,3,1,3,5.874
55.0,3,2,1,0.033
65.0,3,2,1,0.1
75.0,3,2,1,2.007
85.0,3,2,1,5.881
55.0,3,2,2,0.037
65.0,3,2,2,0.09
75.0,3,2,2,1.809
85.0,3,2,2,5.372
55.0,3,2,3,0.017
65.0,3,2,3,0.026
75.0,3,2,3,0.055
85.0,3,2,3,0.656
55.0,3,3,1,0.034
65.0,3,3,1,0.092
75.0,3,3,1,1.343
85.0,3,3,1,4.914
55.0,3,3,2,0.027
65.0,3,3,2,0.079
75.0,3,3,2,1.083
85.0,3,3,2,5.538
55.0,3,3,3,0.048
65.0,3,3,3,0.114
75.0,3,3,3,1.797
85.0,3,3,3,5.192
55.0,1,1,4,0.089
65.0,1,1,4,0.047
75.0,1,1,4,0.375
85.0,1,1,4,4.136
55.0,1,1,5,0.022
65.0,1,1,5,0.041
75.0,1,1,5,0.699
85.0,1,1,5,3.963
55.0,1,2,1,0.018
65.0,1,2,1,0.043
75.0,1,2,1,0.128
85.0,1,2,1,3.749
55.0,1,2,2,0.023
65.0,1,2,2,0.066
75.0,1,2,2,0.233
85.0,1,2,2,4.061
55.0,1,2,3,0.019
65.0,1,2,3,0.05
75.0,1,2,3,0.293
85.0,1,2,3,4.207
55.0,1,2,4,0.025
65.0,1,2,4,0.053
75.0,1,2,4,0.279
85.0,1,2,4,4.439
55.0,1,2,5,0.037
65.0,1,2,5,0.062
75.0,1,2,5,0.584
85.0,1,2,5,4.489
55.0,1,3,1,0.023
65.0,1,3,1,0.038
75.0,1,3,1,0.331
85.0,1,3,1,4.111
55.0,1,3,2,0.021
65.0,1,3,2,0.061
75.0,1,3,2,0.302
85.0,1,3,2,4.085
55.0,1,3,3,0.024
65.0,1,3,3,0.059
75.0,1,3,3,0.495
85.0,1,3,3,4.315
55.0,1,3,4,0.034
65.0,1,3,4,0.054
75.0,1,3,4,0.562
85.0,1,3,4,4.243
55.0,1,3,5,0.026
65.0,1,3,5,0.067
75.0,1,3,5,0.779
85.0,1,3,5,4.88
55.0,1,4,1,0.024
65.0,1,4,1,0.054
75.0,1,4,1,0.372
85.0,1,4,1,4.583
55.0,1,4,2,0.027
65.0,1,4,2,0.054
75.0,1,4,2,0.66
85.0,1,4,2,4.056
55.0,1,4,3,0.031
65.0,1,4,3,0.054
75.0,1,4,3,0.462
85.0,1,4,3,4.139
55.0,1,4,4,0.031
65.0,1,4,4,0.069
75.0,1,4,4,0.552
85.0,1,4,4,4.372
55.0,1,4,5,0.04
65.0,1,4,5,0.065
75.0,1,4,5,1.133
