Workload,Replicas_1,Replicas_2,Replicas_3,Latency
25.0,1,1,1,0.793
35.0,1,1,1,1.368
45.0,1,1,1,12.735
25.0,1,1,2,0.815
35.0,1,1,2,3.204
45.0,1,1,2,11.556
25.0,1,1,3,0.917
35.0,1,1,3,6.982
45.0,1,1,3,13.541
25.0,1,1,4,0.94
35.0,1,1,4,2.667
45.0,1,1,4,11.161
25.0,1,2,1,0.733
35.0,1,2,1,8.189
45.0,1,2,1,16.046
25.0,1,2,2,1.176
35.0,1,2,2,9.844
45.0,1,2,2,16.073
25.0,1,2,3,0.976
35.0,1,2,3,9.218
45.0,1,2,3,12.582
25.0,1,2,4,0.518
35.0,1,2,4,11.122
45.0,1,2,4,16.404
25.0,1,3,1,0.719
35.0,1,3,1,9.666
45.0,1,3,1,12.368
25.0,1,3,2,0.742
35.0,1,3,2,11.739
45.0,1,3,2,16.593
25.0,1,3,3,0.779
35.0,1,3,3,8.635
45.0,1,3,3,14.072
25.0,1,3,4,1.6
35.0,1,3,4,10.126
45.0,1,3,4,17.773
25.0,1,4,1,0.86
35.0,1,4,1,8.114
45.0,1,4,1,17.227
25.0,1,4,2,1.673
35.0,1,4,2,10.989
45.0,1,4,2,15.861
25.0,1,4,3,1.934
35.0,1,4,3,9.027
45.0,1,4,3,11.252
25.0,1,4,4,0.774
35.0,1,4,4,8.405
45.0,1,4,4,10.808
25.0,2,1,1,0.249
35.0,2,1,1,6.275
45.0,2,1,1,0.622
25.0,2,1,2,0.194
35.0,2,1,2,0.515
45.0,2,1,2,2.445
25.0,2,1,3,0.289
35.0,2,1,3,0.519
45.0,2,1,3,1.011
25.0,2,1,4,0.216
35.0,2,1,4,0.555
45.0,2,1,4,3.25
25.0,2,2,1,0.404
35.0,2,2,1,2.989
45.0,2,2,1,5.818
25.0,2,2,2,0.09
35.0,2,2,2,0.55
45.0,2,2,2,2.331
25.0,2,2,3,0.079
35.0,2,2,3,0.231
45.0,2,2,3,1.983
25.0,2,2,4,0.089
35.0,2,2,4,0.258
45.0,2,2,4,6.105
25.0,2,3,1,0.089
35.0,2,3,1,0.323
45.0,2,3,1,2.959
25.0,2,3,2,0.067
35.0,2,3,2,0.239
45.0,2,3,2,2.541
25.0,2,3,3,0.075
35.0,2,3,3,0.257
45.0,2,3,3,1.854
25.0,2,3,4,0.089
35.0,2,3,4,0.242
45.0,2,3,4,5.243
25.0,2,4,1,0.038
35.0,2,4,1,0.361
45.0,2,4,1,0.762
25.0,2,4,2,0.07
35.0,2,4,2,0.36
45.0,2,4,2,4.953
25.0,2,4,3,0.155
35.0,2,4,3,1.226
45.0,2,4,3,11.292
25.0,2,4,4,0.201
35.0,2,4,4,0.292
45.0,2,4,4,4.214
25.0,3,1,1,0.099
35.0,3,1,1,0.233
45.0,3,1,1,0.617
25.0,3,1,2,0.079
35.0,3,1,2,0.171
45.0,3,1,2,0.959
25.0,3,1,3,0.142
35.0,3,1,3,0.463
45.0,3,1,3,0.616
25.0,3,1,4,0.175
35.0,3,1,4,0.379
45.0,3,1,4,0.333
25.0,3,2,1,0.126
35.0,3,2,1,0.274
45.0,3,2,1,1.436
25.0,3,2,2,0.115
35.0,3,2,2,0.305
45.0,3,2,2,3.869
25.0,3,2,3,0.047
35.0,3,2,3,0.302
45.0,3,2,3,0.877
25.0,3,2,4,0.162
35.0,3,2,4,0.688
45.0,3,2,4,6.351
25.0,3,3,1,0.082
35.0,3,3,1,0.814
45.0,3,3,1,10.245
25.0,3,3,2,0.242
35.0,3,3,2,1.863
45.0,3,3,2,9.121
25.0,3,3,3,0.169
35.0,3,3,3,0.194
45.0,3,3,3,3.174
25.0,3,3,4,0.232
35.0,3,3,4,0.752
45.0,3,3,4,2.097
25.0,3,4,1,0.167
35.0,3,4,1,2.517
45.0,3,4,1,16.224
25.0,3,4,2,0.342
35.0,3,4,2,8.09
45.0,3,4,2,13.249
25.0,3,4,3,0.849
35.0,3,4,3,1.416
45.0,3,4,3,3.703
25.0,3,4,4,0.123
35.0,3,4,4,0.907
45.0,3,4,4,7.904
25.0,4,1,1,0.194
35.0,4,1,1,0.273
45.0,4,1,1,0.844
25.0,4,1,2,0.208
35.0,4,1,2,0.73
45.0,4,1,2,2.26
25.0,4,1,3,0.456
35.0,4,1,3,0.92
45.0,4,1,3,0.919
25.0,4,1,4,0.467
35.0,4,1,4,0.714
45.0,4,1,4,6.936
25.0,4,2,1,0.286
35.0,4,2,1,4.349
45.0,4,2,1,10.414
25.0,4,2,2,0.38
35.0,4,2,2,6.405
45.0,4,2,2,5.343
25.0,4,2,3,0.12
35.0,4,2,3,1.232
45.0,4,2,3,6.137
25.0,4,2,4,0.239
35.0,4,2,4,4.481
45.0,4,2,4,8.453
25.0,4,3,1,0.071
35.0,4,3,1,0.239
45.0,4,3,1,1.296
25.0,4,3,2,0.099
35.0,4,3,2,0.049
45.0,4,3,2,5.208
25.0,4,3,3,0.067
35.0,4,3,3,0.261
45.0,4,3,3,1.304
25.0,4,3,4,0.084
35.0,4,3,4,0.2
45.0,4,3,4,0.45
25.0,4,4,1,0.011
35.0,4,4,1,0.011
45.0,4,4,1,0.144
25.0,4,4,2,0.014
35.0,4,4,2,0.02
45.0,4,4,2,0.244
25.0,4,4,3,0.063
35.0,4,4,3,0.229
45.0,4,4,3,1.102
25.0,4,4,4,0.094
35.0,4,4,4,0.281
45.0,4,4,4,0.907
